IC12 Motor Circuitry;dnPTV;SFARI;Motor DE Down;Motor DE Up;Motor Down Modules;Motor Up Modules;Excitatory;Inhibitory;Microglia;Oligodendrocyte;Astrocyte;Endothelial;Developmental Motor Issues;IC12_AND_AUTISM_AND_DEVMOTOR
ANKRD26;;;;;MTBP;DHRS3;;;;;;;SLC13A5;
LPHN1;;;;;NEGR1;LAPTM5;;;;;;;SLC17A5;
SLITRK3;;;;;CERS6;SYNC;;;;;;;SLC18A2;
CNKSR2;;;;;BPGM;NFIA;;;;;;;SLC18A3;
PLEKHA6;;;;;POP7;OMA1;;;;;;;SLC19A3;
KIAA1012;;;;;CSDC2;NEXN;;;;;;;SLC1A2;
CLSTN1;;;;;RCAN2;DNAJB4;;;;;;;SLC1A3;
WDR37;;;;;ABCG4;ELTD1;;;;;;;SLC1A4;
FOXJ3;;;;;C2CD2L;GBP2;;;;;;;SLC22A5;
KIAA0907;;;;;FIBP;DDR2;;;;;;;SLC25A12;
ZNF365;;;;;ZMAT3;PEA15;;;;;;;SLC25A15;
RPH3A;;;;;MUS81;VANGL2;;;;;;;SLC25A19;
DENND3;;;;;ZNF596;FCGR3B;;;;;;;SLC25A20;
SBNO2;;;;;FADS6;SPATA17;;;;;;;SLC25A22;
DHX30;;;;;RAB37;BROX;;;;;;;SLC25A24;
ELL2;;;;;NBEA;ACP6;;;;;;;SLC25A26;
SHANK2;;;;;ADRBK1;MAPKAPK2;;;;;;;SLC25A3;
SLC4A1AP;;;;;HECTD4;CAPN2;;;;;;;SLC25A4;
LAMB2P1;;;;;SCAI;PEX13;;;;;;;SLC25A46;
TPX2;;;;;LRFN4;DISC1;;;;;;;SLC26A2;
SORCS3;;;;;UQCRH;NEUROD1;;;;;;;SLC26A4;
RIMS1;;;;;CXorf23;INHBB;;;;;;;SLC2A1;
PLCH1;;;;;PSMD1;HPGDS;;;;;;;SLC2A10;
PDZRN3;;;;;TOMM20;PDLIM5;;;;;;;SLC30A9;
UNC13A;;;;;NET1;CTSS;;;;;;;SLC33A1;
MAST3;;;;;FAM3C2;TNFAIP8L2;;;;;;;SLC34A1;
MYT1L;;;;;CD34;S100A11;;;;;;;SLC34A3;
TNIK;;;;;FAM174A;S100A9;;;;;;;SLC35A1;
KIF21B;;;;;KIAA1239;GABRG1;;;;;;;SLC35A2;
NCOA6;;;;;CYB561D1;PBXIP1;;;;;;;SLC35A3;
NMNAT2;;;;;PITPNA;C1orf106;;;;;;;SLC35C1;
GGA2;;;;;LIG4;NBPF10;;;;;;;SLC39A14;
CAND2;;;;;ATP2A2;SLC15A2;;;;;;;SLC39A8;
FTSJD2;;;;;CNTNAP2;LRRC58;;;;;;;SLC45A1;
HECW1;;;;;ANKRD36C;IGFBP7;;;;;;;SLC46A1;
MYCBP2;;;;;MFSD4;TGFBR2;;;;;;;SLC52A2;
ARHGAP26;;;;;PELI3;MNDA;;;;;;;SLC52A3;
FSTL4;;;;;TTC9B;IFI16;;;;;;;SLC5A5;
DDN;;;;;BRSK2;PPP4R2;;;;;;;SLC6A1;
GLT25D2;;;;;CNIH2;ADAMTS9;;;;;;;SLC6A19;
NCDN;;;;;SEZ6L2;PPM1K;;;;;;;SLC6A8;
GGA3;;;;;ASPHD1;TIPARP;;;;;;;SLC6A9;
MPRIP;;;;;KLC2;RPL9;;;;;;;SLC7A7;
RTF1;;;;;VCPIP1;RBM47;;;;;;;SLC9A6;
TTLL12;;;;;PDIK1L;MTHFD2L;;;;;;;SMARCA2;
GPD1L;;;;;YPEL2;GYG1;;;;;;;SMARCA4;
METAP1;;;;;CADM2;RYK;;;;;;;SMARCB1;
SEPT8;;;;;PSMD2;FYCO1;;;;;;;SMARCC2;
CEP68;;;;;PPM1E;CCR1;;;;;;;SMARCE1;
PASK;;;;;FAM131A;DTX3L;;;;;;;SMC3;
RFTN1;;;;;DCTN2;NMNAT3;;;;;;;SMG9;
ATG4B;;;;;CKAP5;DNALI1;;;;;;;SMPD4;
PLEKHM2;;;;;ZNF25;KLF15;;;;;;;SMS;
SULF1;;;;;CLTB;FAM208A;;;;;;;SNAI2;
TBC1D1;;;;;PCSK1;UBXN7;;;;;;;SNAP25;
DTX4;;;;;DPP10;BDH2;;;;;;;SNAP29;
RRP12;;;;;MRPL48;SPRY1;;;;;;;SNIP1;
PLCL2;;;;;RAB6A;INTU;;;;;;;SNRPN;
ARHGEF9;;;;;CCDC85B;ETNPPL;;;;;;;SOD1;
VPS13A;;;;;CREG2;HMGB2;;;;;;;SOS1;
AC092436.3;;;;;ARL4D;SAP30;;;;;;;SOS2;
SIK2;;;;;UBE2O;SCRG1;;;;;;;SOX10;
PLCB1;;;;;TCP11L1;ANXA5;;;;;;;SOX11;
ARC;;;;;ZBTB8OS;FBXO8;;;;;;;SOX2;
COBL;;;;;SLC35G1;ARFIP1;;;;;;;SOX4;
ANKRD28;;;;;EID2;RANBP3L;;;;;;;SOX9;
OTUD3;;;;;LPCAT4;GPR98;;;;;;;SPARC;
KIAA0802;;;;;DIRAS1;PGGT1B;;;;;;;SPATA5;
DDHD2;;;;;CDK5R1;ARSK;;;;;;;SPATA7;
EXOC7;;;;;BASP1;RHOBTB3;;;;;;;SPECC1L;
LPHN2;;;;;WSB2;EGFLAM;;;;;;;SPEG;
DNMBP;;;;;PNMA1;MB21D1;;;;;;;SPG20;
CLEC16A;;;;;MTX3;DAGLB;;;;;;;SPR;
KIAA0664;;;;;SCN4B;STK17A;;;;;;;SPRED1;
MTUS2;;;;;RIMKLA;RPS14;;;;;;;SPRY4;
KIAA1107;;;;;RPS6KA3;STEAP1;;;;;;;SPTAN1;
IQCE;;;;;KCNA2;CDCA7L;;;;;;;SPTBN2;
FBXW11;;;;;NAP1L5;MIOS;;;;;;;SRD5A3;
MGRN1;;;;;ARIH2;USP49;;;;;;;SSR4;
TMEM194A;;;;;ST8SIA3;IQUB;;;;;;;ST3GAL3;
NCAPD3;;;;;TBL1XR1;PGAM2;;;;;;;ST3GAL5;
DMXL2;;;;;SAMD12;HNF4G;;;;;;;STAC3;
SATB2;;;;;CSTF2T;PEX2;;;;;;;STAG1;
CUX2;;;;;PGBD5;TNFRSF11B;;;;;;;STAMBP;
RPGRIP1L;;;;;EFCAB4A;PHKG1;;;;;;;STAT3;
USP22;;;;;C12orf68;ALDH7A1;;;;;;;STIL;
NEDD4L;;;;;UBE2N;BAALC;;;;;;;STIM1;
PHF15;;;;;IMP3;TP53INP1;;;;;;;STRA6;
DNAJC16;;;;;TMEM151B;GEM;;;;;;;STRADA;
KIAA1045;;;;;GALNT11;SNAPC3;;;;;;;STT3A;
UNC84A;;;;;NT5DC1;KIAA1161;;;;;;;STT3B;
VPS8;;;;;KLHL11;SYK;;;;;;;STX11;
FAM189A1;;;;;CSRNP3;ABCA1;;;;;;;STX1B;
ZNF629;;;;;ZNF713;TMC1;;;;;;;SUCLG1;
PSD3;;;;;COX5A;GKAP1;;;;;;;SUFU;
OBSL1;;;;;LINC00086;RP11-213G2.3;;;;;;;SUMF1;
ARHGEF12;;;;;CYC1;CYBB;;;;;;;SUOX;
ARHGEF18;;;;;FARSA;PIGA;;;;;;;SURF1;
KIAA0947;;;;;ARID3B;OTUD1;;;;;;;SUZ12;
NUDCD3;;;;;ELMOD2;ARHGAP12;;;;;;;SYNE2;
MED13L;;;;;DGKZP1;SLC7A3;;;;;;;SYNGAP1;
DULLARD;;;;;FOXS1;MARCH8;;;;;;;SYNJ1;
EXOSC2;;;;;R3HDM2;SLC16A9;;;;;;;SYT2;
SIRT4;;;;;ZNF48;INPPL1;;;;;;;SZT2;
SIRT3;;;;;LYNX1;GJB2;;;;;;;TACO1;
FREQ;;;;;FAM73A;HEPACAM;;;;;;;TACR3;
GPR161;;;;;TSPYL5;PCF11;;;;;;;TAF6;
ABCB9;;;;;CHRM4;C10orf10;;;;;;;TAOK1;
ABCA6;;;;;XXyac-YRM2039.2;ZNF22;;;;;;;TARS;
ICMT;;;;;MRPS23;AKR1E2;;;;;;;TARS2;
CBX6;;;;;C3orf58;STOX1;;;;;;;TASP1;
NPTXR;;;;;AMIGO1;NDRG2;;;;;;;TBC1D20;
CBX7;;;;;GPR3;ARHGEF40;;;;;;;TBC1D23;
RIMBP2;;;;;COPG1;CASP7;;;;;;;TBC1D24;
TMEM131;;;;;SLC35C1;UBTD1;;;;;;;TBCD;
LRRC8B;;;;;RNF41;ARHGAP42;;;;;;;TBCE;
SLC39A14;;;;;TMEM259;CPSF2;;;;;;;TBCK;
R3HDM1;;;;;RGMA;SMCO4;;;;;;;TBL1XR1;
SRRM2;;;;;ATP6AP2;HTRA1;;;;;;;TBX1;
ZNF281;;;;;CACNB4;GPT2;;;;;;;TCF4;
MMD;;;;;PGBD4;SGPL1;;;;;;;TCTN1;
ADAT1;;;;;WASH6P;FRS2;;;;;;;TCTN2;
MAPK8IP2;;;;;CEP97;PCBD1;;;;;;;TCTN3;
RASD2;;;;;EPHB3;ZNF202;;;;;;;TDGF1;
CCRK;;;;;C2orf82;FAM227B;;;;;;;TDP2;
WBP2;;;;;PLCB1;STXBP4;;;;;;;TECPR2;
ZNF346;;;;;C16orf72;WBP1L;;;;;;;TECR;
DDAH1;;;;;GALNT9;C2;;;;;;;TELO2;
SMUG1;;;;;TCEAL7;TMEM100;;;;;;;TG;
OPN3;;;;;SLC8A1;ANAPC16;;;;;;;TGFB1;
SH3BP1;;;;;BEGAIN;TPP1;;;;;;;TGIF1;
FAM89B;;;;;RABIF;RPL27A;;;;;;;TH;
HSPBP1;;;;;CECR6;WEE1;;;;;;;THOC2;
LDOC1;;;;;CCDC125;CLEC4E;;;;;;;TIMMDC1;
EDC4;;;;;KIAA2026;RIMKLB;;;;;;;TKT;
PPP1R15A;;;;;GRIN2A;A2ML1;;;;;;;TLK2;
PLD3;;;;;TANGO2;MC4R;;;;;;;TMCO1;
SSBP3;;;;;OPCML;TMPRSS5;;;;;;;TMEM106B;
TMEM2;;;;;CMTM4;PLEKHA7;;;;;;;TMEM107;
SMPX;;;;;CBX6;B2M;;;;;;;TMEM126B;
GABARAPL3;;;;;PNMA3;PLIN1;;;;;;;TMEM138;
FRRS1L;;;;;NIPSNAP1;PEX11A;;;;;;;TMEM165;
PPIL2;;;;;KCNQ3;TMEM170A;;;;;;;TMEM199;
PITPNB;;;;;PGP;MS4A7;;;;;;;TMEM216;
PISD;;;;;KCNK12;ACSF2;;;;;;;TMEM231;
OSBP2;;;;;EFNA5;SNX20;;;;;;;TMEM260;
GABARAPL3;;;;;MAP7D2;ACAA2;;;;;;;TMEM27;
FLRT3;;;;;PLA2G6;TRIM68;;;;;;;TMEM43;
FLRT2;;;;;BEX5;SGK494;;;;;;;TMEM5;
FLRT1;;;;;CEND1;RPL13;;;;;;;TMEM67;
MTCH1;;;;;SEPT5;AXL;;;;;;;TMEM70;
TFIP11;;;;;OSBP2;LAIR1;;;;;;;TMEM8C;
FJX1;;;;;APOO;TTYH1;;;;;;;TNFRSF11A;
PRPF6;;;;;BTBD6;PLIN4;;;;;;;TNIK;
C11orf41;;;;;FMNL1;NXN;;;;;;;TNXB;
SLC24A2;;;;;NUTM2A;ANGPTL4;;;;;;;TOE1;
DGCR9;;;;;NDUFA6;CD300A;;;;;;;TOR1A;
RAD54B;;;;;BRI3BP;TMC8;;;;;;;TP53RK;
TMEM59L;;;;;SLC2A3P2;DNASE1L2;;;;;;;TPI1;
NGEF;;;;;MANEAL;KCTD5;;;;;;;TPK1;
SPDEF;;;;;NOMO2;RAB3IL1;;;;;;;TPM2;
TTLL1;;;;;NOTUM;SLC3A2;;;;;;;TPM3;
RAB26;;;;;WBSCR17;SCARA3;;;;;;;TPO;
MOBKL3;;;;;PARK2;DDIT4;;;;;;;TPRKB;
YIPF3;;;;;C17orf70;ZCCHC4;;;;;;;TRAF7;
AC010442.2;;;;;SV2B;ACOX2;;;;;;;TRAK1;
ARMC8;;;;;WASH3P;FAM107A;;;;;;;TRAPPC11;
C11orf20;;;;;LMLN;IRF2;;;;;;;TRAPPC12;
AC109486.1;;;;;PBX1;SEPT2;;;;;;;TRAPPC6B;
BRP44;;;;;C16orf52;TAP1;;;;;;;TREX1;
LETMD1;;;;;C11orf87;ING5;;;;;;;TRIM37;
TMEM186;;;;;KCNQ5;MLKL;;;;;;;TRIM8;
RCHY1;;;;;MORF4L1;RAB31;;;;;;;TRIP13;
IFFO1;;;;;DMWD;TNXB;;;;;;;TRIP4;
C11orf51;;;;;ATP6V0C;SNRNP48;;;;;;;TRIT1;
C1orf43;;;;;POMK;STAT3;;;;;;;TRMT10A;
MYRIP;;;;;RTN4RL1;ADAM9;;;;;;;TRMT10C;
NOL11;;;;;ANKRD46;FAM84B;;;;;;;TRMT5;
CNRIP1;;;;;PIP5K1C;AHCYL1;;;;;;;TRPM3;
SOSTDC1;;;;;CCDC84;ATOH8;;;;;;;TRPS1;
PVRL3;;;;;ZNRF1;TNIP2;;;;;;;TRPV4;
SEC31B;;;;;SOWAHB;VAMP5;;;;;;;TRPV6;
SH2B1;;;;;NAP1L3;ENHO;;;;;;;TSEN15;
UNC50;;;;;NAP1L2;INPP5D;;;;;;;TSEN2;
MMACHC;;;;;RGS7BP;PPIC;;;;;;;TSEN34;
NECAP1;;;;;MYT1L;LGALS9;;;;;;;TSEN54;
DNAH1;;;;;MIR22HG;PXDC1;;;;;;;TSFM;
HINFP;;;;;PDE2A;SIGLEC7;;;;;;;TSHB;
ULK3;;;;;MPPED1;NTSR2;;;;;;;TSHR;
MOXD1;;;;;MAPT;DHRSX;;;;;;;TUBA1A;
C2CD3;;;;;ZDHHC17;CHST14;;;;;;;TUBA8;
ODZ4;;;;;RNF220;CCDC126;;;;;;;TUBB;
NELF;;;;;RP11-195F19.5;CA5B;;;;;;;TUBB2A;
FAM32A;;;;;SESTD1;EFNA1;;;;;;;TUBB2B;
OSBPL3;;;;;CHP1;RNASE2;;;;;;;TUBB4A;
SUSD5;;;;;KCNJ11;PTAFR;;;;;;;TUBGCP2;
ATRNL1;;;;;USP7;RNASE6;;;;;;;TUFM;
IPCEF1;;;;;SPRY4;NPR1;;;;;;;TULP1;
CHD5;;;;;GABRD;SDC2;;;;;;;TUSC3;
SETBP1;;;;;SHISA7;CCDC8;;;;;;;UBA1;
ZNF500;;;;;LINC00265;METTL15;;;;;;;UBA5;
SLITRK5;;;;;PRKAR1B;DFFB;;;;;;;UBE3A;
RAB11FIP5;;;;;NUTM2B;ANTXR1;;;;;;;UBE3B;
ERC2;;;;;SBK1;C15orf40;;;;;;;UBR1;
HACL1;;;;;CHM;HIC2;;;;;;;UBR7;
POLDIP2;;;;;COL25A1;CHRNA5;;;;;;;UBTF;
C10orf137;;;;;FBLL1;MT1E;;;;;;;UFC1;
TANC2;;;;;PAQR9;RFNG;;;;;;;UFM1;
EPC2;;;;;OSTN;DCXR;;;;;;;UGP2;
TRPC4AP;;;;;TMEM198;LIMS1;;;;;;;UGT1A1;
ZNF658;;;;;SPRED3;HNRNPF;;;;;;;UNC80;
IFT172;;;;;FAM78B;P2RY1;;;;;;;UPB1;
SENP3;;;;;NOC2L;TRIM56;;;;;;;UPF3B;
FBXW2;;;;;BTBD8;ITGAM;;;;;;;UQCC2;
TIAM2;;;;;TSPYL1;TOR1AIP2;;;;;;;UQCRFS1;
FAM50B;;;;;SRGAP3;TM4SF1;;;;;;;UQCRQ;
KLHL3;;;;;FAM217B;GPR37L1;;;;;;;USP18;
PTTG3;;;;;PPIA;TMEM192;;;;;;;USP45;
TSPAN17;;;;;NIF3L1;UBE2E1;;;;;;;USP7;
FBXO10;;;;;IARS;CCDC144A;;;;;;;USP9X;
FBXO9;;;;;CPNE4;USP47;;;;;;;VAC14;
FBXO6;;;;;ASB13;FAM161A;;;;;;;VAMP1;
FBXO4;;;;;ESRRG;TMED10;;;;;;;VAMP2;
VPS33B;;;;;SPTSSB;EMX2;;;;;;;VARS;
KCTD9P2;;;;;AJAP1;FAM115C;;;;;;;VARS2;
AK5;;;;;NF1;SLC30A1;;;;;;;VDR;
LHX6;;;;;VKORC1L1;GPRC5C;;;;;;;VIPAS39;
SEZ6L2;;;;;CD47;ADORA2B;;;;;;;VLDLR;
NARF;;;;;PPTC7;METTL7B;;;;;;;VMA21;
DAZAP1;;;;;SCN8A;CD14;;;;;;;VPS11;
BSCL2;;;;;FAM3C;SGCD;;;;;;;VPS13B;
VCX;;;;;SLC39A10;TMEM133;;;;;;;VPS13D;
SNORA70;;;;;AP2A1;CELP;;;;;;;VPS33A;
STEAP1;;;;;ANXA6;CEL;;;;;;;VPS33B;
NBEA;;;;;DYNC1H1;RPS9;;;;;;;VPS53;
AKAP8L;;;;;SLC6A17;MSANTD4;;;;;;;VRK1;
RNF11;;;;;LRRC8B;PAQR8;;;;;;;VWA1;
FETUB;;;;;PSMD12;ZNF160;;;;;;;WAC;
CYFIP2;;;;;GPR123;DCDC1;;;;;;;WARS2;
FGF22;;;;;ENTPD4;HAS2;;;;;;;WDR11;
KCNV1;;;;;SYNGAP1;S1PR1;;;;;;;WDR45B;
ACAD8;;;;;TRIM33;FPR2;;;;;;;WDR73;
TRMT2A;;;;;ZNF517;FPR1;;;;;;;WDR81;
VPS41;;;;;ADARB1;MTM1;;;;;;;WNK1;
TSPAN13;;;;;HTT;CHST11;;;;;;;WWOX;
RPUSD2;;;;;OGDHL;APLN;;;;;;;XYLT2;
FOXP1;;;;;STMN3;MCC;;;;;;;YARS2;
B3GAT1;;;;;MYO5A;HOPX;;;;;;;YIPF5;
ZBTB11;;;;;SSPO;ETFDH;;;;;;;YWHAG;
DKK3;;;;;RAB40C;PTGER4;;;;;;;ZAK;
INPP5J;;;;;FAM212B;SLC25A33;;;;;;;ZBTB11;
FILIP1;;;;;SGTB;GPR34;;;;;;;ZBTB18;
STK36;;;;;FAM49A;RGS19;;;;;;;ZBTB20;
BRPF3;;;;;NKIRAS1;TMEM51;;;;;;;ZC3H14;
GLS2;;;;;DNM3;LRRC34;;;;;;;ZDHHC9;
TUBG2;;;;;DLGAP2;GATM;;;;;;;ZFP57;
IL1F8;;;;;TMEM229B;RASGRP4;;;;;;;ZIC2;
OXGR1;;;;;RPS6KL1;SLFNL1;;;;;;;ZMYND11;
TUBGCP4;;;;;PEG3;BCL2;;;;;;;ZNF292;
GNMT;;;;;ASNA1;COL8A2;;;;;;;ZNF423;
GPR162;;;;;UVRAG;RPS21;;;;;;;ZNF462;
SESN1;;;;;FAM115A;C3AR1;;;;;;;ZNF469;
MMADHC;;;;;TMA16;RPS7;;;;;;;ZNHIT3;
RND1;;;;;ATL1;AQP4;;;;;;;ACBD5;
BHLHE22;;;;;MAFK;CYP4F11;;;;;;;ACP5;
PRPF19;;;;;ARC;ZNF217;;;;;;;ALDOA;
KCTD7;;;;;COPS8;LAMB2;;;;;;;ANTXR1;
KCNMB4;;;;;CALM1;MOB3A;;;;;;;AP3B1;
HTRA2;;;;;SLC9A6;KRCC1;;;;;;;ARCN1;
TOR2A;;;;;IPO9;SNTB1;;;;;;;ASPM;
CECR6;;;;;FAM179B;ID4;;;;;;;ATL1;
CECR5;;;;;PPP1R14C;CLEC7A;;;;;;;ATP6AP2;
PCLO;;;;;SCAMP5;HINFP;;;;;;;AUH;
SLCO4A1;;;;;INPP5F;SUCLG2;;;;;;;BCOR;
TRIB2;;;;;OPA1;CCDC11;;;;;;;CIB2;
CCDC22;;;;;ARHGEF15;GNG12;;;;;;;COL3A1;
OSTM1;;;;;RUSC2;FGGY;;;;;;;CTDP1;
GIT1;;;;;LTN1;IL17D;;;;;;;CYP2U1;
BZW2;;;;;RUNDC1;PDE3A;;;;;;;DYM;
MCTS1;;;;;BHLHB9;KLHL6;;;;;;;EXOSC2;
DBNL;;;;;GPRASP1;EFEMP2;;;;;;;FAM46A;
NTMT1;;;;;MAGEE1;ZFAND4;;;;;;;FBLN5;
ZBTB44;;;;;KIAA1279;FUT10;;;;;;;FBN2;
CCDC113;;;;;PJA2;NAA16;;;;;;;FGD4;
THYN1;;;;;CHML;EFCAB12;;;;;;;FLNA;
AC008074.2;;;;;TATDN3;DCP2;;;;;;;GALK1;
SCG3;;;;;SERTAD4-AS1;RPL38;;;;;;;GDAP1;
TAGLN3;;;;;SPRN;RNASEH2C;;;;;;;GHR;
DDX25;;;;;GDI1;MYD88;;;;;;;GMNN;
USP25;;;;;PNMA6B;SLC22A13;;;;;;;GPSM2;
ABT1;;;;;SAMD13;RELA;;;;;;;HELLS;
POM121L8P;;;;;LRRC73;ZNF680;;;;;;;HGSNAT;
YPEL1;;;;;CHIC1;NOC3L;;;;;;;HMGA2;
UBN1;;;;;RUFY2;GLRX;;;;;;;HPDL;
ANAPC2;;;;;ASAH2B;PPP1R3B;;;;;;;IFT52;
STRN4;;;;;SYT15;C1QB;;;;;;;IGF1;
CCDC106;;;;;BMPR2;C1QA;;;;;;;IGF1R;
ST8SIA5;;;;;COL11A2;DAG1;;;;;;;IL1RN;
GPR171;;;;;SPIN3;EHBP1L1;;;;;;;KATNB1;
HOOK2;;;;;DFNB59;THAP2;;;;;;;KCNA4;
HCFC2;;;;;ABHD16A;PPP1R14B;;;;;;;KMT2B;
EPN1;;;;;FAM155A;VEGFB;;;;;;;LARS2;
GMPPB;;;;;GNL1;TNFRSF10D;;;;;;;MAOA;
GMPPA;;;;;PPP1R11;TNFRSF10C;;;;;;;MECR;
ANAPC4;;;;;DCTN1;SNX33;;;;;;;MICU1;
PDZRN4;;;;;PNMAL2;NABP1;;;;;;;MLC1;
TRHDE;;;;;FAM216A;STAT5B;;;;;;;MMP13;
NRBP1;;;;;SLC35B4;RNF213;;;;;;;MPDZ;
C16orf5;;;;;TMEM240;PHC3;;;;;;;MTMR2;
LRP12;;;;;CALML3-AS1;GOLIM4;;;;;;;MYH3;
NRBF2;;;;;RP11-497E19.1;MARCH3;;;;;;;MYO7A;
SLC39A2;;;;;LCMT1;RBM4;;;;;;;MYRF;
PILRA;;;;;WI2-81516E3.1;UBXN2A;;;;;;;NAA15;
PACSIN1;;;;;LNP1;GNG5;;;;;;;NDRG1;
TNPO2;;;;;XKR4;SLC25A30;;;;;;;NT5C2;
ST6GALNAC6;;;;;C11orf31;MSRB3;;;;;;;OPA1;
KCNIP3;;;;;SACM1L;TLR10;;;;;;;ORC6;
KCNIP2;;;;;SYT3;TLR1;;;;;;;PANK2;
EHD3;;;;;AC090425.1;TLR6;;;;;;;PCDH15;
STOML2;;;;;MLLT11;MGA;;;;;;;PDK3;
ZNF295;;;;;KRT222;GLIS1;;;;;;;PLAG1;
NOX4;;;;;VDAC1;RPL4;;;;;;;POR;
COL5A3;;;;;NDUFS3;CMKLR1;;;;;;;PRKRA;
GALNT9;;;;;LBH;ANGEL2;;;;;;;PTCH2;
DEF6;;;;;CENPBD1P1;IQCK;;;;;;;PTH1R;
ARHGEF4;;;;;ATP6V1G2;SH3PXD2B;;;;;;;PTPRQ;
ARHGEF3;;;;;FIS1;WDR49;;;;;;;RBM8A;
MYEF2;;;;;RP11-108K14.4;FZD4;;;;;;;SAMD9;
AC024270.1;;;;;VSTM5;EMR1;;;;;;;SCN11A;
COPS7A;;;;;PPME1;FAM211A-AS1;;;;;;;SCYL1;
TAS2R10;;;;;KRT18P33;DES;;;;;;;SETBP1;
VILL;;;;;NUTM2D;CSRP2;;;;;;;SGMS2;
STMN3;;;;;CPEB1;VWA3A;;;;;;;SH3PXD2B;
OPCML;;;;;SEPT7P2;PHYHD1;;;;;;;SH3TC2;
SHANK1;;;;;UBE2QL1;SCUBE2;;;;;;;SLC37A4;
SOST;;;;;MYL5;LPL;;;;;;;SLC39A13;
MED31;;;;;RP11-57K17.1;LRRC25;;;;;;;SLC9A1;
COQ6;;;;;VAMP2;KCNE3;;;;;;;SMARCAL1;
SLC35C2;;;;;PPP3R1;LONRF3;;;;;;;SP7;
RRP15;;;;;PLXNA4;UCP2;;;;;;;SPG21;
BOLA1;;;;;NPTXR;SUGCT;;;;;;;TADA2A;
PPPDE1;;;;;LINC00473;SWI5;;;;;;;TAZ;
ST8SIA3;;;;;FAM115B;TSPEAR;;;;;;;THG1L;
FAM135B;;;;;VPS52;PLEKHF2;;;;;;;TMEM38B;
CALHM2;;;;;CKMT1A;AC127496.1;;;;;;;TNFRSF11B;
YARS2;;;;;PNMA6A;KLHL38;;;;;;;TRIP11;
MEMO1;;;;;SMIM13;TUBB6;;;;;;;ZBTB24;
MRPL4;;;;;LINC00863;NUPR1;;;;;;;ZNF711;
MRPS7;;;;;RAB6C-AS1;CSTF3;;;;;;;CLN5;
TNNI3K;;;;;RFPL1S;YES1;;;;;;;FOXP2;
UTP18;;;;;RP11-75C9.1;ACBD7;;;;;;;;
METTL9;;;;;ELFN1;HSD11B2;;;;;;;;
SUV420H1;;;;;RP11-182I10.3;DMRTA1;;;;;;;;
IER3IP1;;;;;WASH7P;B3GNT5;;;;;;;;
NAT5;;;;;PARG;RMDN1;;;;;;;;
ASB3;;;;;NUTM2E;CCDC121;;;;;;;;
C5orf45;;;;;AP000459.4;GJA1P1;;;;;;;;
MRTO4;;;;;LINC01128;PXMP2;;;;;;;;
CYB5R4;;;;;TMEM254-AS1;FIBIN;;;;;;;;
NAGPA;;;;;KRTAP5-AS1;SHMT1;;;;;;;;
RAPGEFL1;;;;;WASH4P;SIX5;;;;;;;;
C14orf91;;;;;LINC00094;ANO6;;;;;;;;
ANKRD39;;;;;PNMA6C;LINC00982;;;;;;;;
C12ORF47;;;;;AC011747.4;ZFAS1;;;;;;;;
C1RL;;;;;CLEC2L;TGIF1;;;;;;;;
BFAR;;;;;ZBED5;GPR4;;;;;;;;
ERGIC2;;;;;MIR600HG;CD163;;;;;;;;
NRN1;;;;;RP11-1008C21.2;RPLP2;;;;;;;;
GCNT4;;;;;CDKN2AIPNL;JUN;;;;;;;;
ZDHHC3;;;;;CKMT1B;AGTRAP;;;;;;;;
REEP2;;;;;C9orf69;SRRM3;;;;;;;;
C4orf18;;;;;GATS;CD151;;;;;;;;
SPTBN5;;;;;MRPS17;MYOZ1;;;;;;;;
PRR16;;;;;PRKAG2-AS1;KCNJ10;;;;;;;;
C8orf55;;;;;LY6G5B;ARL6IP6;;;;;;;;
FZR1;;;;;PNMA2;RPS27;;;;;;;;
HOOK1;;;;;PCDHGC5;ALS2CL;;;;;;;;
CDC40;;;;;ARPC1A;GRAMD1C;;;;;;;;
CHST15;;;;;ATP5O;PDE4DIP;;;;;;;;
TEX264;;;;;PI4KA;ZNF114;;;;;;;;
HEMK1;;;;;PCDHAC2;SLC25A20;;;;;;;;
ACTL6B;;;;;ETV5;CD28;;;;;;;;
DDX41;;;;;RP11-744N12.3;OTOS;;;;;;;;
ANAPC7;;;;;EXTL3-AS1;KCTD12;;;;;;;;
HPCAL4;;;;;RP11-461O7.1;DPY19L3;;;;;;;;
GULP1;;;;;OIP5-AS1;ZNF852;;;;;;;;
VCX2;;;;;TWF2;CTC1;;;;;;;;
TRIAP1;;;;;ABHD14A;SNX18;;;;;;;;
C11orf73;;;;;USP46-AS1;WSCD1;;;;;;;;
ETV7;;;;;MIR143HG;GPC5;;;;;;;;
NCKIPSD;;;;;HS3ST5;CIITA;;;;;;;;
VTA1;;;;;CACNA1G-AS1;ALOX15B;;;;;;;;
SIRT7;;;;;RP11-53O19.1;CDC42EP4;;;;;;;;
SIRT6;;;;;ATXN7L3B;MAF1;;;;;;;;
RAB6B;;;;;CTB-131B5.5;PIPOX;;;;;;;;
FAM49B;;;;;SYS1-DBNDD2;LRRC3B;;;;;;;;
MED15;;;;;MEF2BNB;PCBP1-AS1;;;;;;;;
AC093310.1;;;;;EID1;AC025335.1;;;;;;;;
KLF13;;;;;LINC00925;CITED4;;;;;;;;
LUC7L2;;;;;RP11-728G15.1;TIGD5;;;;;;;;
